Recipe Title,Region,Country,Servings,Calories (KCal),Protein (g),Fat (g),More Info,primary_key
Armenian Jajukh,Middle Eastern,Rest Middle Eastern,1,33.8,1.46,0.24,more info,265
Mujaddara Arabic Lentil Rice,Middle Eastern,Rest Middle Eastern,6,1543.13,24.74,84.72,more info,266
Extra Easy Hummus,Middle Eastern,Rest Middle Eastern,4,1272.99,62.31,32.56,more info,267
Tofu Hummus,Middle Eastern,Rest Middle Eastern,8,1593.5,69.99,62.63,more info,268
Pita Chips,Middle Eastern,Rest Middle Eastern,24,959.13,0.27,108.06,more info,269
Lentils and Rice with Fried Onions (Mujadarrah),Middle Eastern,Rest Middle Eastern,4,813.4,3.77,83.14,more info,270
Baba Ghanoush with Yogurt,Middle Eastern,Rest Middle Eastern,7,631.35,19.76,50.42,more info,271
Grandma Lou's Cheese Boereg,Middle Eastern,Rest Middle Eastern,48,2225.75,135.71,179.32,more info,272
Vegetarian Moroccan Stew,Middle Eastern,Rest Middle Eastern,6,1998.59,87.5,44.96,more info,273
Basboosa,Middle Eastern,Rest Middle Eastern,12,14000.96,40.76,1432.61,more info,274
Make-Believe Middle Eastern Chicken,Middle Eastern,Rest Middle Eastern,2,631.67,10.55,53.55,more info,275
Lebanese Restaurant Rice Pilaf,Middle Eastern,Rest Middle Eastern,12,683.08,2.67,74.8,more info,276
Sun-Dried Tomato Hummus,Middle Eastern,Rest Middle Eastern,16,2826.13,132.87,87.53,more info,277
Authentic Kicked-Up Syrian Hummus,Middle Eastern,Rest Middle Eastern,8,1843.2,83.41,76.37,more info,278
Middle Eastern Tomato Salad,Middle Eastern,Rest Middle Eastern,8,336.51,6.18,28.52,more info,279
Lamb L'Arabique,Middle Eastern,Rest Middle Eastern,5,2365.18,251.37,51.81,more info,280
Fulla's Roasted Garlic Hummus,Middle Eastern,Rest Middle Eastern,12,1731.58,72.66,74.48,more info,281
Authentic Homemade Yogurt,Middle Eastern,Rest Middle Eastern,8,707.44,37.12,37.88,more info,282
Mensaf (Jordanian Lamb Stew),Middle Eastern,Rest Middle Eastern,8,4333.08,183.77,263.57,more info,283
Ghoraiybah,Middle Eastern,Rest Middle Eastern,24,24496.55,42.85,2731.26,more info,284
Georgian Bean Salad,Middle Eastern,Rest Middle Eastern,6,598.51,12.56,56.06,more info,285
Grape Leaves Aleppo,Middle Eastern,Rest Middle Eastern,32,3199.52,168.92,198.35,more info,286
Easy Fava Bean Salad,Middle Eastern,Rest Middle Eastern,2,827.54,61.13,3.84,more info,287
Strawberry Rosewater Ice Cream,Middle Eastern,Rest Middle Eastern,8,569.6,13.45,18.2,more info,288
Easy Baklava,Middle Eastern,Rest Middle Eastern,36,3909.53,70.64,223.43,more info,289
Zhug (Homemade Yemeni Salsa),Middle Eastern,Rest Middle Eastern,12,89.35,4.31,0.92,more info,290
Carrot Recipe,Middle Eastern,Rest Middle Eastern,4,1616.63,25.61,24.77,more info,291
Easiest Falafel,Middle Eastern,Rest Middle Eastern,5,1765.62,71.24,78.06,more info,292
No-Fuss Falafel,Middle Eastern,Rest Middle Eastern,4,4029.84,64.78,346.6,more info,293
Tomato-Pesto Hummus,Middle Eastern,Rest Middle Eastern,6,1679.77,81.15,57.15,more info,294
Sweet Potato Hummus,Middle Eastern,Rest Middle Eastern,20,1316.22,67.04,32.79,more info,295
Lamb and Okra Stew,Middle Eastern,Rest Middle Eastern,6,1455.51,220.63,25.19,more info,296
Choereg (Armenian Easter Bread),Middle Eastern,Rest Middle Eastern,30,2272.26,46.65,220.66,more info,297
Lamb and Bulgur Soup (Shorba Freek),Middle Eastern,Rest Middle Eastern,6,1878.16,102.07,99.83,more info,298
Lavosh,Middle Eastern,Rest Middle Eastern,10,204.41,8.94,14.45,more info,299
Pita Bread,Middle Eastern,Rest Middle Eastern,8,150.12,0.02,13.51,more info,300
Jacy's Middle-Eastern Fava Bean Stew,Middle Eastern,Rest Middle Eastern,6,2586.58,147.02,46.25,more info,301
Bamia,Middle Eastern,Rest Middle Eastern,6,1971.9,91.01,151.48,more info,302
Pomegranate Molasses,Middle Eastern,Rest Middle Eastern,24,951.68,1.92,3.18,more info,303
Beef and Okra Bamia,Middle Eastern,Rest Middle Eastern,6,2070.31,109.7,165.8,more info,304
Hummus I,Middle Eastern,Rest Middle Eastern,24,2978.01,144.89,94.08,more info,305
Whole Rice and Lentils (Majadara),Middle Eastern,Israeli,8,1242.08,16.7,60.63,more info,306
Moroccan Shabbat Fish,Middle Eastern,Israeli,6,3068.27,547.04,71.12,more info,307
Apples in Pajamas,Middle Eastern,Israeli,8,8068.48,21.04,843.07,more info,308
Israeli Salad,Middle Eastern,Israeli,5,1259.5,13.64,111.94,more info,309
Chakchouka (Shakshouka),Middle Eastern,Israeli,4,852,33.18,61.57,more info,310
Foolproof Potato Latkes,Middle Eastern,Israeli,5,691.21,14.32,64.17,more info,311
Fast and Easy Israeli Tahini Cookies,Middle Eastern,Israeli,24,1975.87,37.4,100.8,more info,312
Apple and Honey Sorbet,Middle Eastern,Israeli,8,1329.56,0.92,0.4,more info,313
Strudel Roll Cookies,Middle Eastern,Israeli,18,3072.35,30.1,283.45,more info,314
Hawaij_All-Purpose Seasoning,Middle Eastern,Israeli,36,139.71,6,4.96,more info,315
Fresh Israeli Salad,Middle Eastern,Israeli,3,194.37,9.9,1.51,more info,316
Israeli Tomato and Cucumber Salad,Middle Eastern,Israeli,6,1033.2,4.24,108.98,more info,317
Yummy Matzo Rolls,Middle Eastern,Israeli,4,1304.3,38.18,128.43,more info,318
Cheese Bourekas,Middle Eastern,Israeli,12,315.96,18,23.92,more info,319
Israeli Stuffed Dates,Middle Eastern,Israeli,25,1404.71,18,99.65,more info,320
Authentic Middle Eastern Hummus (Chummus),Middle Eastern,Israeli,8,1086.89,31.9,96.03,more info,321
Matbucha,Middle Eastern,Israeli,6,375.41,16.03,4.55,more info,322
Sambusaks (Sumboosaks) with Chickpeas,Middle Eastern,Israeli,11,2317.78,131.07,112,more info,323
Shakshuka Middle Eastern Breakfast Dish,Middle Eastern,Israeli,2,532.48,32.87,29.44,more info,324
Shakshooka,Middle Eastern,Israeli,6,1015.3,53.91,59.34,more info,325
Middle Eastern Rice with Black Beans and Chickpeas,Middle Eastern,Israeli,8,5615.4,402.07,121.4,more info,326
Middle Eastern Kibbeh,Middle Eastern,Israeli,12,2569.64,128.58,189.46,more info,327
Salat Yirakot,Middle Eastern,Israeli,4,1148.87,9.82,110.51,more info,328
Ima's Potato Salad,Middle Eastern,Israeli,6,1870.71,63.27,99.54,more info,329
Re:Bar Re:Vive Shake,Middle Eastern,Israeli,1,721.34,0,81.6,more info,330
Tahini Butter Cookies,Middle Eastern,Israeli,50,1768.31,42.74,115.2,more info,331
Mom's Black-Eyed Peas,Middle Eastern,Lebanese,8,2852.11,106.65,190.8,more info,332
Lamb Shawarma,Middle Eastern,Lebanese,8,5960.37,388.2,478.93,more info,333
Lebanese Lemon Lentil Soup,Middle Eastern,Lebanese,10,825.31,18.29,59.36,more info,334
Chicken Shawarma,Middle Eastern,Lebanese,8,17087.5,378.32,1691.17,more info,335
Lebanese Easter Cookies,Middle Eastern,Lebanese,60,12399.34,312.05,343.05,more info,336
Lebanese Chicken and Potatoes,Middle Eastern,Lebanese,6,71.56,1.61,0.64,more info,337
Mellas Family Lamb Stuffed Zucchini (Koosa),Middle Eastern,Lebanese,4,1462.36,83.16,112.93,more info,338
Lebanese Bean Salad,Middle Eastern,Lebanese,5,3351.43,188.56,65.89,more info,339
Kibbee Lebanese Style,Middle Eastern,Lebanese,4,1633.92,89.58,110.68,more info,340
Labneh (Lebanese Yogurt),Middle Eastern,Lebanese,12,22.63,1.24,1,more info,341
Lebanese Garlic Butter Sauce,Middle Eastern,Lebanese,16,944.94,21.58,85.74,more info,342
Lebanese Radish Salad,Middle Eastern,Lebanese,8,74.81,3.12,0.47,more info,343
Lebanese Stuffed Zucchini (Coosa_Koosa),Middle Eastern,Lebanese,6,1491.92,120.27,19.81,more info,344
Authentic Lebanese Fattoush,Middle Eastern,Lebanese,4,221.94,9.44,2.93,more info,345
Layali Libnan (Lebanese Nights),Middle Eastern,Lebanese,15,5911.79,116.68,131.64,more info,346
Lebanese-Style Tabouli,Middle Eastern,Lebanese,8,1425.46,16.88,110.96,more info,347
Lebanese Zaatar (Za'atar) Bread,Middle Eastern,Lebanese,40,6624.23,33.13,656.05,more info,348
Babi's Bean Salad,Middle Eastern,Lebanese,6,634.69,4.83,55.23,more info,349
Thick-Style Lebanese Garlic Sauce,Middle Eastern,Lebanese,32,3815.44,0.42,434.29,more info,350
Fattoush,Middle Eastern,Lebanese,4,666.92,7.77,56.54,more info,351
Mediterranean Meat Pies (Sfeeha),Middle Eastern,Lebanese,18,2338.47,148.55,181.04,more info,352
Labneh (Lebanese Cream Cheese),Middle Eastern,Lebanese,32,2868.56,136.02,181.4,more info,353
Kibby (Kibby-Bel-Saneeya),Middle Eastern,Lebanese,4,1469.24,100.82,111.19,more info,354
Sfouf (Lebanese Turmeric Cake),Middle Eastern,Lebanese,16,2336.17,6.3,128.6,more info,355
Aunty Terese's Fattoush,Middle Eastern,Lebanese,4,353.22,5.17,28.09,more info,356
Red Bean Stew,Middle Eastern,Lebanese,2,1228.58,69.66,28.27,more info,357
Lebanese Garlic Sauce,Middle Eastern,Lebanese,32,5782,0.85,648.58,more info,358
Lebanese Seven Spices,Middle Eastern,Lebanese,106,675.27,27.63,30.71,more info,359
Arabic Cookies,Middle Eastern,Lebanese,80,5941.23,110.45,373.42,more info,360
Lebanese Donair,Middle Eastern,Lebanese,7,4310.47,367.16,274.42,more info,361
Mahallebi,Middle Eastern,Lebanese,8,4800.94,76.72,374.27,more info,362
Traditional Hummus,Middle Eastern,Lebanese,8,5561.07,166.12,367.5,more info,363
Toum,Middle Eastern,Lebanese,6,488.78,0.78,54.57,more info,364
Mamool or Ma'amoul,Middle Eastern,Lebanese,12,8355.44,42.35,747,more info,365
Arabic Fattoush Salad,Middle Eastern,Lebanese,4,155.15,2.49,14.15,more info,366
Manaaeesh Flatbread,Middle Eastern,Lebanese,6,488.46,1.43,54.05,more info,367
Muhammara,Middle Eastern,Lebanese,8,999.38,1.29,109.63,more info,368
Lebanese Baked Eggplant,Middle Eastern,Lebanese,6,3716.96,97.88,357.49,more info,369
Namoora (Basboosa),Middle Eastern,Lebanese,16,2669.14,52.02,20.13,more info,370
Lentil Lemon Soup,Middle Eastern,Lebanese,6,569.19,28.68,32.06,more info,371
Whipped Garlic,Middle Eastern,Lebanese,12,954.72,0,108,more info,372
Lebanese Fattoush,Middle Eastern,Lebanese,6,4474.98,7.9,492.04,more info,373
Tabbouleh III,Middle Eastern,Lebanese,8,2022.94,29.3,149.24,more info,374
Hummus Casserole,Middle Eastern,Lebanese,8,1656.71,99.68,131.39,more info,375
Lebanese Fattoosh,Middle Eastern,Lebanese,4,742.57,11.62,56.82,more info,376
Lebanese Chicken Shawarma,Middle Eastern,Lebanese,4,2004.56,199.84,119.96,more info,377
Lebanese Lemon Salad Dressing,Middle Eastern,Lebanese,6,40.25,0.99,0.33,more info,378
Lentil and Green Collard Soup,Middle Eastern,Lebanese,4,932.42,49.99,19.43,more info,379
Green Beans in Seasoned Tomato Sauce,Middle Eastern,Lebanese,8,356.92,3.38,27.28,more info,380
Semolina Turmeric Cake (Sfoof),Middle Eastern,Lebanese,12,2930.77,40.89,125.47,more info,381
Cilantro and Garlic Potatoes,Middle Eastern,Lebanese,8,71.6,1.68,5.03,more info,382
Jiddo's Fatayer Sabanegh (Spinach Triangles),Middle Eastern,Lebanese,15,1941.7,90.22,41.97,more info,383
"Chard Lentil Soup, Lebanese-Style",Middle Eastern,Lebanese,8,1062.58,4.59,108.96,more info,384
Fried Cauliflower with Tahini Sauce,Middle Eastern,Lebanese,6,11754.68,14.95,1346.6,more info,385
Fattoush (Lebanese Salad),Middle Eastern,Lebanese,6,535.62,9.19,42.11,more info,386
Best Hummus,Middle Eastern,Lebanese,32,1650.08,70.25,67.05,more info,387
Kafta (BBQ),Middle Eastern,Lebanese,6,854.52,159.12,18.77,more info,388
Almond Tahini Date Balls,Middle Eastern,Egyptian,15,3911.24,1.78,440.8,more info,389
Egyptian Meat Pie,Middle Eastern,Egyptian,8,784.39,54.16,53.46,more info,390
Gibna With Tamatum or Cheese With Tomatoes,Middle Eastern,Egyptian,4-6,734.05,33.01,61.97,more info,391
Baklava,Middle Eastern,Egyptian,20,450998.72,66.04,27375.2,more info,392
Egyptian Beef and Okra,Middle Eastern,Egyptian,1 casserole,1161.4,103.95,63.85,more info,393
Egyptian Eggplant Omelet,Middle Eastern,Egyptian,6,925.56,105.55,45,more info,394
Molukhia - Jews Mallow Soup,Middle Eastern,Egyptian,6-8,534.33,1.15,54.97,more info,395
Shakshuka,Middle Eastern,Egyptian,4,648.81,31.59,47.09,more info,396
Spinach With Dill,Middle Eastern,Egyptian,4-6,744.39,34.6,24.81,more info,397
Exotic Nile River Split Pea Soup,Middle Eastern,Egyptian,6,574.5,13.77,30.01,more info,398
Egyptian Omelet - Eggah,Middle Eastern,Egyptian,4,1126.67,42.11,92.94,more info,399
Mujadarra,Middle Eastern,Egyptian,4-5,66.49,1.81,0.24,more info,400
"Peas and Lamb, ""bisila Bil La7ma Fil Forn""",Middle Eastern,Egyptian,4,500.99,27.08,3.29,more info,401
Parsleyed Eggs,Middle Eastern,Egyptian,6 stuffed eggs,1027.5,56.38,78.93,more info,402
Egyptian Chicken,Middle Eastern,Egyptian,6,2483.23,16.88,233.54,more info,403
"Egyptian Style Fatah (Rice, Meat, Crispy Bread, Vinegar, Garlic)",Middle Eastern,Egyptian,4-6,2499.9,250.18,22.74,more info,404
Dukkah,Middle Eastern,Egyptian,4,423.51,12.48,33.27,more info,405
Stuffed Kufta,Middle Eastern,Egyptian,4,2457.52,97.74,145.55,more info,406
Galayet Bandora,Middle Eastern,Egyptian,4,945.57,27.17,67.42,more info,407
Fatta - Egyptian Meat Soup,Middle Eastern,Egyptian,8,2279.04,125.2,150.15,more info,408
Egyptian Eggs With Dukkah,Middle Eastern,Egyptian,4 eggs,1404.15,54.64,92.78,more info,409
Lamb Marinade,Middle Eastern,Egyptian,4 servings of lamb,290.67,0.92,27.14,more info,410
Egyptian Molokheya (Green Spinach-Like Soup),Middle Eastern,Egyptian,10,1822.17,164.06,99.22,more info,411
Egyptian Red Snapper in Red Pepper Mint Sauce,Middle Eastern,Egyptian,6,2546.67,538.76,27.2,more info,412
Koshari - Lentils and Rice With Tomato Sauce,Middle Eastern,Egyptian,4,1055.55,21.73,28.79,more info,413
Egyptian Fish Kebabs,Middle Eastern,Egyptian,6,1674.2,15.9,104.76,more info,414
Egyptian Baked Beef Patties (Saniyit Kufta),Middle Eastern,Egyptian,12-14 Patties,2180.77,203.16,130.79,more info,415
Egyptian Style Stuffed Cabbage Leaves (Mashy Crump),Middle Eastern,Egyptian,10,296.62,13.6,3.32,more info,416
Egyptian Lamb Pie,Middle Eastern,Egyptian,6,2763.51,112.56,200.1,more info,417
Kosa Matbukha Bi I Zabadi - Egyptian Zucchini in Yoghurt Sauce,Middle Eastern,Egyptian,8,270.62,4.2,27.14,more info,418
Egyptian Spinach Omelet,Middle Eastern,Egyptian,6,2035.66,114.19,76.87,more info,419
Spinach and Cheese Turkish Pides,Middle Eastern,Egyptian,4 pides,41106.24,2268.64,3280.82,more info,420
Egyptian Beef Koftas (Ground Beef on Skewers),Middle Eastern,Egyptian,6,2004.8,183.82,120.13,more info,421
Ancient Egyptian Chicken,Middle Eastern,Egyptian,1 dinner,1877.93,99.87,154.03,more info,422
Mama's Secret Roast Chicken,Middle Eastern,Egyptian,4,1088.18,79.97,70.5,more info,423
Egyptian Rice,Middle Eastern,Egyptian,6,1773.41,125.51,64.7,more info,424
Oven Potatoes Tray (Saniat Patates Ba El-Lahma Fi Al-Forn),Middle Eastern,Egyptian,10,278.8,14.68,1.59,more info,425
Chinese Style Veal Ribs,Middle Eastern,Egyptian,4,1812.33,196.85,90.98,more info,426
Egyptian Greens-And-Chicken Stew,Middle Eastern,Egyptian,4,1490.63,26.98,16.69,more info,427
Egyptian Style Baked Fish (Saneya Semaak),Middle Eastern,Egyptian,6,2051.68,94.21,116.02,more info,428
Louvia (Black - Eyed Peas Stew),Middle Eastern,Egyptian,5,1063.4,27.67,70.56,more info,429
Chicken Egyptian,Middle Eastern,Egyptian,2-4,3116.24,222.26,226.93,more info,430
Egyptian Spiced Prawns,Middle Eastern,Egyptian,4,378.87,0.9,41.35,more info,431
Egyptian Lemon Chicken With Figs,Middle Eastern,Egyptian,4,515.58,14.04,1.36,more info,432
Fava Bean Soup,Middle Eastern,Egyptian,10,1954.01,123.97,35.27,more info,433
Middle Eastern-Style Lamb Pizzas,Middle Eastern,Egyptian,4,2140.6,101.61,175.59,more info,434
Fool Medemmas - Fava Beans,Middle Eastern,Egyptian,4,1045.31,62.48,24.33,more info,435
Tagin Samak - Egyptian Fish Stew,Middle Eastern,Egyptian,4,876.93,101.37,32.19,more info,436
Asbusa,Middle Eastern,Egyptian,2-3,5735.03,109.23,26.99,more info,437
Egyptian Rice - T-R-L,Middle Eastern,Egyptian,4,1414.23,126.13,33.5,more info,438
Hamada's Authentic Egyptian Kusherie,Middle Eastern,Egyptian,6-8,4080.58,64.24,219.79,more info,439
Koshari,Middle Eastern,Egyptian,4,792.51,18.07,6.56,more info,440
Egyptian Swiss Chard With Lamb in Tomato Sauce,Middle Eastern,Egyptian,4,1091.08,187.14,20.47,more info,441
Kusherie (Egyptian Rice and Lentils),Middle Eastern,Egyptian,6-8,1935.29,52.13,39.26,more info,442
Egyptian Koshari,Middle Eastern,Egyptian,10-12,705.85,3.36,68.42,more info,443
Hamud,Middle Eastern,Egyptian,6,108.58,2.67,0.53,more info,444
Firakh Matbukha Bi I Zabadi - Egyptian Chicken in Yoghurt-Mint S,Middle Eastern,Egyptian,4,288.59,60.71,1.51,more info,445
Mock Tartare Sauce ( Tartar Sauce ),Middle Eastern,Egyptian,2,220.6,0.33,24.01,more info,446
Egyptian Meats Pizza -Basturma & Sujuq (Suguk),Middle Eastern,Egyptian,2 pies,1800.84,80.36,108.19,more info,447
Bamya - Meat and Okra Stew,Middle Eastern,Egyptian,6-8,1362.49,203.97,35.37,more info,448
Shurit Ads (Lentil & Garlic Soup),Middle Eastern,Egyptian,6,1157.28,70.43,28.3,more info,449
Egyptian Sayyadiah - Fish With Rice,Middle Eastern,Egyptian,4,2696.88,371.92,113.93,more info,450
Butter Cookies from North Africa (Ghreyba),Middle Eastern,Egyptian,30-40 cookies,1601.4,42.74,115.2,more info,451
Bamia (Beef & Okra Casserole),Middle Eastern,Egyptian,4,1867.59,121.31,99.55,more info,452
Basic Roast Duck,Middle Eastern,Egyptian,4-6,-,-,-,more info,453
Egyptian Yellow Chicken With Almonds,Middle Eastern,Egyptian,8,1921.81,0.19,217.07,more info,454
Koshari Deluxe,Middle Eastern,Egyptian,4,1101.38,19.62,33.91,more info,455
Egyptian Style Breaded Thin Steak (Buftek),Middle Eastern,Egyptian,4,60,1.65,0.15,more info,456
Chicken Shwarma - Chawarma Lahme,Middle Eastern,Egyptian,6,1713.75,190.31,98.41,more info,457
Egyptian Moussaka,Middle Eastern,Egyptian,6-8,129515.92,25385.31,2309.59,more info,458
Mediterranean Tilapia Cashew Fusion With Lemon Sauce,Middle Eastern,Egyptian,4,3512.3,418.94,139.09,more info,459
Egyptian Falafel - Pita Pocket Filler,Middle Eastern,Egyptian,6,2438.48,94.98,144.57,more info,460
Spicy King Prawns,Middle Eastern,Egyptian,8,1284.09,272.7,8.81,more info,461
Fooll Mudammes (Fava Bean Egyptian Breakfast)(فول مدمس),Middle Eastern,Egyptian,4,1178.52,61.12,42.46,more info,462
Tabouli Chicken Casserole,Middle Eastern,Egyptian,4-6,1390.46,73.08,20.67,more info,463
Egyptian Style Spinach (Sabanek),Middle Eastern,Egyptian,6,535.76,55.36,22.97,more info,464
Beetroot Dip - Beet Dip,Middle Eastern,Egyptian,850 grams,16.57,0.56,0.61,more info,465
Lamb Pilaf,Middle Eastern,Egyptian,6-8,523337.31,40657.42,38741.77,more info,466
Egyptian Grilled Chicken,Middle Eastern,Egyptian,4-6,203702.21,44881.13,1350,more info,467
Bissara,Middle Eastern,Egyptian,6,799.87,32.3,41.93,more info,468
Egypt Ridge Catfish,Middle Eastern,Egyptian,2,1296.02,94.28,76.37,more info,469
Eggplant (Or Aubergine) Dip,Middle Eastern,Egyptian,6-8,497.81,0.45,55.02,more info,470
Egyptian Faatah (Rice & Meat With Crispy Bread on Bottom),Middle Eastern,Egyptian,6,5816.25,152.86,447.02,more info,471
Ful Medames,Middle Eastern,Egyptian,2,945.3,60.94,17.5,more info,472
Kofta Skewers,Middle Eastern,Egyptian,10-12 skewers,1284.99,109.36,72.13,more info,473
Egyptian Toasted Pine Nut Couscous With Garlic Shrimp,Middle Eastern,Egyptian,4,1533.24,133.4,95.64,more info,474
Eggplant (Aubergine) Moussaka,Middle Eastern,Egyptian,1 13x9 oven pan,2664.44,98.6,218.09,more info,475
Wonderful Chicken Marinade.,Middle Eastern,Egyptian,8,226.93,11.95,1.75,more info,476
Egyptian Tomato Sauce,Middle Eastern,Egyptian,4,390.28,5.96,27.03,more info,477
Mihee's Egyptian Masa'a,Middle Eastern,Egyptian,8,3133.78,221.85,70.84,more info,478
Dried Sausage and Pastrami Egg Casserole,Middle Eastern,Egyptian,5,2142.43,136.73,160.77,more info,479
Egyptian Lahma Bil Basal (Beef in Rich Onion Sauce),Middle Eastern,Egyptian,4,954.22,102.14,31.3,more info,480
Kharshuf Matbukh,Middle Eastern,Egyptian,4,906.67,121.05,14.67,more info,481
Egyptian Spinach Stew,Middle Eastern,Egyptian,8,721.57,50.69,27.95,more info,482
Tzipi's Egyptian Ground Fish Rolls,Middle Eastern,Egyptian,16,2281.15,13.35,254.84,more info,483
Egyptian Macaroni Bechamel,Middle Eastern,Egyptian,4-6,3922.06,271.7,233.47,more info,484
Cousin Pete's Yummiest Dukkah (Nut Dip),Middle Eastern,Egyptian,1 dip,913.44,14.14,90.55,more info,485
