Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g),recipe_key
tomato puree,1,can,,312.36,73.81,13.56,1.72,52
cumin,,,ground,-,-,-,-,52
salt,to taste,,,-,-,-,-,52
black pepper,to taste,,ground,0,0,0,0,52
butter,1/2,cup,melted,684,31.42,21.37,57.6,52
greek yogurt,1,cup,,-,-,-,-,52
parsley,1/4,cup,chopped,5.4,0.94,0.44,0.11,52
vegetable oil,1/2,cup,,939.58,0,0,109,53
red onion,4,,sliced,176,41.09,4.84,0.44,53
chicken,3,pounds,bone,2896.8,1.76,249.28,201.68,53
water,2,cups,,0,0,0,0,53
pomegranate juice,2 1/2,cups,,336.15,81.73,0.93,1.8,53
walnut,4,cups,chopped,7708.48,0,0,872,53
cardamom,2,tablespoons,ground,36.07,7.94,1.24,0.77,53
cinnamon,2,tablespoons,ground,-,-,-,-,53
butternut squash,1,,seeded cubed,-,-,-,-,53
saffron powder,1/4,teaspoon,,0.54,0.11,0.02,0.01,53
salt,1,teaspoon,,-,-,-,-,53
beef tenderloin,2,pounds,,2239.47,0,177.79,164.65,54
onion,1,,chopped,64,14.94,1.76,0.16,54
salt,1,tablespoon,,-,-,-,-,54
black pepper,1,pinch,ground,0.36,0.09,0.01,0,54
lime juice,1/8,cup,,7.56,2.54,0.12,0.02,54
mint,1 1/2,sprigs,chopped,-,-,-,-,55
cilantro,1 1/2,bunches,chopped,-,-,-,-,55
italian flat leaf parsley,1 1/2,bunches,chopped,-,-,-,-,55
red onion,1,,chopped,28,6.53,0.77,0.07,55
pomegranate,1,,skin,144.42,32.53,2.9,2.03,55
lime juice,6,tablespoons,,22.68,7.64,0.38,0.06,55
lime zest,2,teaspoons,grated,-,-,-,-,55
jalapeno pepper,1,,chopped,1.63,0.36,0.05,0.02,55
serrano pepper,1,,chopped,0.7,0.14,0.03,0,55
tomato,1,,diced,16.38,3.53,0.8,0.18,55
olive oil,2,tablespoons,,238.68,0,0,27,55
salt,to taste,,,-,-,-,-,55
white pepper,,,ground,-,-,-,-,55
salt,1,tablespoon,divided,-,-,-,-,56
japanese eggplant,5,,peeled,2017.33,0,448.8,11.33,56
vegetable oil,1,cup,,117.23,0,0,13.6,56
vegetable oil,1,tablespoon,,117.23,0,0,13.6,56
white onion,1,,chopped,60,14.01,1.65,0.15,56
garlic,1 1/2,teaspoons,chopped,6.25,1.38,0.26,0.02,56
stew meat,1,pound,cubed,-,-,-,-,56
beef bouillon,1,cube,,-,-,-,-,56
cumin,1,teaspoon,ground,7.87,0.92,0.37,0.46,56
saffron,1,teaspoon,,2.17,0.45,0.08,0.04,56
tomato paste,1/2,can,,69.7,16.07,3.67,0.39,56
water,2,cups,,0,0,0,0,56
tomato sauce,1,can,,-,-,-,-,56
beef,1,pound,ground,898.11,0,88.08,57.74,57
onion,1,,chopped,60,14.01,1.65,0.15,57
jalapeno pepper,1,,chopped,1.63,0.36,0.05,0.02,57
curry powder,2,tablespoons,,40.95,7.03,1.8,1.76,57
chicken broth,5,cups,,390.6,9.45,55.69,13.1,57
tomato sauce,1,cup,,-,-,-,-,57
green bean,1,pound,cut,140.61,31.61,8.3,0.99,57
basmati rice,3,cups,uncooked rinsed drained,2025.75,443.72,39.57,3.66,57
vegetable oil,3,tablespoons,,351.69,0,0,40.8,57
green olive,2,jars,unseasoned chopped,-,-,-,-,58
olive oil,1/3,cup,,636.48,0,0,72,58
walnut,1/3,cup,ground,642.37,0,0,72.66,58
almond,1/3,cup,ground,642.37,0,0,72.66,58
pomegranate molasses,1/4,cup,,-,-,-,-,58
mint,1/4,cup,chopped,10.03,1.91,0.75,0.16,58
tarragon,1/4,cup,chopped,21.24,3.61,1.63,0.52,58
lemon juice,2,tablespoons,,6.71,2.1,0.1,0.07,58
garlic,2,cloves,chopped,8.94,1.98,0.38,0.03,58
balsamic vinegar,1,teaspoon,,4.66,0.9,0.02,0,58
thyme,1/2,teaspoon,ground,1.38,0.31,0.04,0.03,58
salt black pepper,to taste,,ground,-,-,-,-,58
vegetable oil,1,tablespoon,,117.23,0,0,13.6,59
onion,2,,sliced,128,29.88,3.52,0.32,59
lamb,1,pound,cut,1211.11,0,76.56,97.93,59
salt,1/2,teaspoon,,-,-,-,-,59
black pepper,1/2,teaspoon,ground,2.88,0.73,0.11,0.03,59
turmeric,1/4,teaspoon,ground,2.34,0.5,0.07,0.02,59
cinnamon,1/4,teaspoon,ground,-,-,-,-,59
garlic,3,cloves,minced,13.41,2.97,0.57,0.04,59
ginger,1,piece,sliced,-,-,-,-,59
prune,1/2,cup,pitted,122.85,32.52,1.01,0.23,59
carrot,2,,peeled sliced,104.96,24.52,2.38,0.61,59
quince,1,,cored sliced,-,-,-,-,59
eggplant,1,,peeled cut,-,-,-,-,59
tomato,1,,sliced,40.2,8.68,1.96,0.44,59
salt,1,pinch,,-,-,-,-,59
water,1,cup,,0,0,0,0,59
tomato juice,1/2,cup,,20.65,4.28,1.03,0.35,59
lemon juice,2,tablespoons,,6.71,2.1,0.1,0.07,59
potato,3,,peeled sliced,-,-,-,-,59
red potato,2,,diced,635.03,144.24,17.14,1.27,60
kidney bean,1,can,rinsed drained,80,11.31,11.58,1.37,60
olive oil,2,tablespoons,divided,238.68,0,0,27,60
beef stew meat,1 1/2,pounds,cut,605.2,0,134.64,3.4,60
onion,1,cup,diced,64,14.94,1.76,0.16,60
turmeric,1,teaspoon,ground,9.36,2.01,0.29,0.09,60
salt,1,teaspoon,,-,-,-,-,60
black pepper,1/2,teaspoon,ground,2.88,0.73,0.11,0.03,60
spinach,2,cups,chopped,13.8,2.17,1.71,0.23,60
parsley,1,cup,chopped,21.6,3.79,1.78,0.47,60
cilantro,1/2,cup,chopped,1.84,0.29,0.17,0.04,60
chive,1/4,cup,chopped,3.6,0.52,0.39,0.08,60
chicken broth,4,cups,,312.48,7.56,44.55,10.48,60
lime juice,1,cup,,60.5,20.37,1.01,0.16,60
garlic,2,teaspoons,minced,8.34,1.85,0.35,0.02,60
lamb shank,4,,,1613.87,0,359.04,9.06,61
olive oil,1/4,cup,divided,477.36,0,0,54,61
salt,4,tablespoons,,-,-,-,-,61
turmeric,2,teaspoons,ground,18.72,4.02,0.58,0.19,61
cinnamon,1,teaspoon,ground,-,-,-,-,61
cardamom,1,teaspoon,ground,6.22,1.36,0.21,0.13,61
black pepper,1,teaspoon,ground,5.77,1.47,0.23,0.07,61
cumin,1,teaspoon,ground,7.87,0.92,0.37,0.46,61
nutmeg,1/2,teaspoon,ground,5.77,0.54,0.06,0.39,61
onion,1,,chopped,60,14.01,1.65,0.15,61
garlic,3,cloves,,13.41,2.97,0.57,0.04,61
water,1/3,cup,,0,0,0,0,61
lime,2,,juiced,2.52,0.84,0.04,0,61
rosewater,2,teaspoons,,1613.87,0,359.04,9.06,61
saffron,1/4,teaspoon,crumbled,0.54,0.11,0.02,0.01,61
red wine,1/2,cup,,-,-,-,-,61
parsley,1,tablespoon,chopped,1.36,0.24,0.11,0.03,61
thyme,3,sprigs,,-,-,-,-,61
lime zest,1/2,teaspoon,grated,1613.87,0,359.04,9.06,61
bay leaf,2,,,-,-,-,-,61
chicken broth,6,cups,,468.72,11.34,66.83,15.72,61
extra virgin olive oil,1/2,cup,,-,-,-,-,62
lime juice,1/4,cup,,15.12,5.09,0.25,0.04,62
onion,2,,grated,120,28.02,3.3,0.3,62
garlic,1,clove,crushed,4.47,0.99,0.19,0.01,62
saffron,1/2,teaspoon,,1.08,0.22,0.04,0.02,62
salt,1,teaspoon,,-,-,-,-,62
black pepper,1/4,teaspoon,,1.44,0.36,0.05,0.01,62
lamb,1 3/4,pounds,boneless cut,2119.44,0,133.99,171.38,62
tomato,4,,,160.83,34.75,7.86,1.78,62
sumac powder,1,tablespoon,,-,-,-,-,62
canola oil,1/4,cup,divided,481.78,0,0,54.5,63
yellow onion,1,,chopped,-,-,-,-,63
turmeric,1,teaspoon,ground,9.36,2.01,0.29,0.09,63
chuck roast,1 1/2,pounds,boneless cut,1224,0,130.42,78.06,63
spinach,1 1/2,cups,chopped,10.35,1.63,1.28,0.17,63
green onion,1,cup,chopped,19.17,4.07,0.68,0.33,63
italian flat leaf parsley,1/2,cup,chopped,-,-,-,-,63
cilantro,1/4,cup,chopped,0.92,0.14,0.08,0.02,63
chive,1/4,cup,chopped,3.6,0.52,0.39,0.08,63
fenugreek leaf,1/4,cup,chopped,-,-,-,-,63
water,1 1/2,cups,,0,0,0,0,63
salt black pepper,to taste,,ground,-,-,-,-,63
lemon,1,,juiced,1.11,0.35,0.01,0.01,63
persian lime,4,,,-,-,-,-,63
red kidney bean,1,can,drained rinsed,910.34,164.96,67.22,0.68,63
basmati rice,2,cups,,-,-,-,-,64
eggplant,1,pound,sliced,113.39,26.67,4.44,0.81,64
beef stew meat,1,pound,,449.05,35.6,20,25.08,64
water,4,cups,,0,0,0,0,64
cinnamon,1,teaspoon,ground,-,-,-,-,64
turmeric,1/2,teaspoon,ground,4.68,1,0.14,0.04,64
olive oil,2,tablespoons,,238.68,0,0,27,64
onion,1,,chopped,60,14.01,1.65,0.15,64
tomato,1,can,diced,40.2,8.68,1.96,0.44,64
tomato sauce,1,can,,-,-,-,-,64
salt,1,teaspoon,,-,-,-,-,64
butter,1/4,cup,,342,15.71,10.68,28.8,64
water,1,tablespoon,,0,0,0,0,64
cooking spray,,,,-,-,-,-,65
purpose flour,2,cups,,-,-,-,-,65
almond flour,1,cup,,-,-,-,-,65
baking powder,2,teaspoons,,4.87,2.54,0,0,65
cardamom,1,teaspoon,ground,6.22,1.36,0.21,0.13,65
salt,1/2,teaspoon,,-,-,-,-,65
white sugar,2,cups,,1548,399.92,0,0,65
cream cheese,1,package,softened,-,-,-,-,65
butter,1/2,cup,softened,684,31.42,21.37,57.6,65
rose water,1,tablespoon,,0,0,0,0,65
vanilla extract,1/2,teaspoon,,6.04,0.26,0,0,65
egg,6,,,429,2.16,37.68,28.53,65
cornstarch,2/3,cup,,325.12,77.88,0.22,0.04,66
milk,2,cups,,297.68,23.32,15.37,15.95,66
cardamom seed,6,,,-,-,-,-,66
almond,1/2,cup,ground,963.56,0,0,109,66
rosewater,to taste,,,-,-,-,-,66
white sugar,1/4,cup,,193.5,49.99,0,0,66
almond,1/4,cup,blanched slivered,963.56,0,0,109,66
butter,1/4,cup,unsalted divided,406.89,0.03,0.48,46.02,67
scallion,4,,chopped,128,29.36,7.32,0.76,67
parsley,1/4,cup,chopped,5.4,0.94,0.44,0.11,67
spinach,1/2,pound,chopped,52.16,8.23,6.48,0.88,67
egg,3,,,214.5,1.08,18.84,14.26,67
salt black pepper,to taste,,ground,-,-,-,-,67
walnut,1 1/2,cups,ground,2890.68,0,0,327,68
egg yolk,3,,,164.22,1.83,8.08,13.53,68
white sugar,3/4,cup,,580.5,149.97,0,0,68
cardamom,1,tablespoon,ground,18.03,3.97,0.62,0.38,68
baking soda,1,teaspoon,,0,0,0,0,68
rose water,1,tablespoon,,0,0,0,0,68
egg yolk,1,,,164.22,1.83,8.08,13.53,68
water,1,teaspoon,,0,0,0,0,68
walnut,1/2,cup,,2890.68,0,0,327,68
yogurt,1,container,,103.7,7.92,5.89,5.52,69
english cucumber,3,,peeled cubed,-,-,-,-,69
garlic,1,clove,minced,4.47,0.99,0.19,0.01,69
shallot,1,,chopped,115.2,26.88,4,0.16,69
dill weed,5,tablespoons,,1.19,0.19,0.09,0.03,69
salt,1,teaspoon,,-,-,-,-,69
pepper,1,teaspoon,,5.77,1.47,0.23,0.07,69
yogurt,1,container,,103.7,7.92,5.89,5.52,70
dill weed,2,tablespoons,,0.47,0.07,0.03,0.01,70
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,70
salt black pepper,to taste,,,-,-,-,-,70
cucumber,1,,peeled seeded chopped,15.6,3.77,0.67,0.11,70
yogurt,2,cups,,298.9,22.83,17,15.92,71
cream,1/4,cup,sour,113.85,2.66,1.4,11.12,71
dill weed,1,tablespoon,,0.23,0.03,0.01,0,71
mint,1,tablespoon,,2.5,0.47,0.18,0.04,71
cucumber,1/2,,peeled seeded diced,7.8,1.88,0.33,0.05,71
walnut,1/2,cup,chopped,963.56,0,0,109,71
raisin,1/2,cup,,249.15,65.6,2.79,0.37,71
walnut,3,,,963.56,0,0,109,71
,6,raisins,,-,-,-,-,71
purpose flour,2,cups,,-,-,-,-,72
baking powder,1,teaspoon,,2.43,1.27,0,0,72
egg,4,,,286,1.44,25.12,19.02,72
white sugar,1 1/4,cups,,967.5,249.95,0,0,72
butter,1 1/2,cups,melted,2052,94.28,64.11,172.8,72
yogurt,1,cup,,149.45,11.41,8.5,7.96,72
cardamom,1 1/2,teaspoons,ground,9.33,2.05,0.32,0.2,72
rose water,1,tablespoon,,0,0,0,0,72
almond,1/2,cup,blanched slivered,963.56,0,0,109,72
pistachio nut,1 1/2,tablespoons,chopped,64.57,3.13,2.32,5.22,72
butter,1/2,cup,divided,684,31.42,21.37,57.6,73
beef stew meat,1,pound,cubed,449.05,35.6,20,25.08,73
white onion,1,,chopped,60,14.01,1.65,0.15,73
nutmeg,1,tablespoon,ground,36.75,3.45,0.4,2.54,73
cinnamon,1,tablespoon,ground,-,-,-,-,73
salt black pepper,to taste,,ground,-,-,-,-,73
water,2,cups,,0,0,0,0,73
extra virgin olive oil,1/4,cup,,-,-,-,-,73
lima bean,3,cups,cooked,528.84,94.39,32.01,4.02,73
celery,1,bunch,chopped,-,-,-,-,73
bulb fennel,1,,chopped,-,-,-,-,73
flat leaf parsley,1,bunch,,-,-,-,-,73
lemon juice,2/3,cup,,35.78,11.22,0.56,0.39,73
orange blossom honey,8,cups,,-,-,-,-,74
water,5,cups,,0,0,0,0,74
white wine vinegar,2,cups,,-,-,-,-,74
mint,12,sprigs,,-,-,-,-,74
turkey,1,pound,ground,648.26,0.58,98.1,25.56,75
onion,1,,minced,28,6.53,0.77,0.07,75
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,75
cilantro,1/4,cup,chopped,0.92,0.14,0.08,0.02,75
egg,1,,,71.5,0.36,6.28,4.75,75
green chile pepper,1/4,teaspoon,chopped,0.31,0.07,0.01,0,75
coriander,1/4,teaspoon,ground,1.34,0.24,0.05,0.08,75
paprika,1/4,teaspoon,ground,1.62,0.31,0.08,0.07,75
chili powder,1/4,teaspoon,,1.9,0.33,0.09,0.09,75
salt,to taste,,,-,-,-,-,75
yogurt,1,container,low-fat,107.1,11.96,8.92,2.63,76
onion,1,,chopped,64,14.94,1.76,0.16,76
mint,1/2,teaspoon,,0.41,0.07,0.03,0,76
beef sirloin,2,pounds,cut,1188.43,0,200.4,37.01,76
milk,3 1/2,cups,,520.94,40.82,26.9,27.92,77
white sugar,1/2,cup,,387,99.98,0,0,77
white rice,1/2,cup,,337.62,73.95,6.59,0.61,77
rose water,1,1/2 teaspoons,,0,0,0,0,77
almond,1/2,cup,blanched slivered,963.56,0,0,109,77
olive oil,2,teaspoons,,119.34,0,0,13.5,78
onion,1,,chopped,64,14.94,1.76,0.16,78
fava bean,1,can,rinsed drained,766.86,131.08,58.74,3.44,78
garbanzo bean chickpea,1,can,rinsed drained,1133.43,188.75,61.37,18.11,78
water,1,cup,,0,0,0,0,78
tomato paste,1/2,can,,69.7,16.07,3.67,0.39,78
lemon juice,1/2,cup,,26.84,8.41,0.42,0.29,78
olive oil,1,tablespoon,,119.34,0,0,13.5,78
garlic,3,cloves,minced,13.41,2.97,0.57,0.04,78
tahini,1,tablespoon,,85.5,3.92,2.67,7.2,78
cumin,2,teaspoons,ground,15.75,1.85,0.74,0.93,78
chickpea,1,can,drained,1133.43,188.75,61.37,18.11,79
soy sauce,3,tablespoons,,25.44,2.36,3.9,0.27,79
olive oil,2,tablespoons,,238.68,0,0,27,79
lemon juice,2,tablespoons,,6.71,2.1,0.1,0.07,79
tahini,1,tablespoon,,85.5,3.92,2.67,7.2,79
wasabi powder,1,tablespoon,,58.4,9.22,0.44,2.18,79
garlic,1,clove,,4.47,0.99,0.19,0.01,79
black pepper,1/4,teaspoon,ground,1.44,0.36,0.05,0.01,79
eggplant,1,,cut,-,-,-,-,80
salt,,,,-,-,-,-,80
olive oil,1,tablespoon,,119.34,0,0,13.5,80
onion,1,,chopped sweet,60,14.01,1.65,0.15,80
celery,2,,sliced,-,-,-,-,80
cumin,1/2,teaspoon,ground,3.93,0.46,0.18,0.23,80
oregano,2,pinches,,0.33,0.08,0.01,0,80
rosemary,2,pinches,ground,0.11,0.01,0,0,80
paprika,2,pinches,,0.81,0.15,0.04,0.03,80
mint,1/8,teaspoon,,0.1,0.02,0,0,80
salt black pepper,1 to taste,pinch,ground,-,-,-,-,80
garlic,1 1/2,teaspoons,minced,6.25,1.38,0.26,0.02,80
tomato,3,,chopped,120.62,26.06,5.89,1.34,80
chicken broth,1,cup,,78.12,1.89,11.13,2.62,80
tomato sauce,1,can,,-,-,-,-,80
lamb,1,pound,ground,1211.11,0,76.56,97.93,80
olive oil,1,tablespoon,,119.34,0,0,13.5,80
lemon,1,,juiced,1.11,0.35,0.01,0.01,80
brown lentil,14,ounces,,353.03,0,78.54,1.98,81
carrot,2,,grated,104.96,24.52,2.38,0.61,81
olive oil,3,tablespoons,,358.02,0,0,40.5,81
onion,2,,sliced,128,29.88,3.52,0.32,81
garlic,3,cloves,crushed,13.41,2.97,0.57,0.04,81
water,2,tablespoons,,0,0,0,0,81
cumin,1 1/2,teaspoons,ground,11.81,1.39,0.56,0.7,81
cayenne pepper,1/4,teaspoon,ground,1.43,0.25,0.05,0.07,81
yellow curry powder,1/4,teaspoon,,353.03,0,78.54,1.98,81
brown rice,4,cups,cooked,2294.16,483.35,45.69,17.56,81
green lentil,1,cup,,-,-,-,-,82
water,2,cups,,0,0,0,0,82
vegetable oil,2,tablespoons,,234.46,0,0,27.2,82
basmati rice,1,cup,,-,-,-,-,82
vegetable oil,2,tablespoons,,234.46,0,0,27.2,82
onion,1,,chopped,60,14.01,1.65,0.15,82
salt,to taste,,,-,-,-,-,82
falafel mix,3,ounces,,75.65,0,16.83,0.42,83
olive oil,1/2,cup,,954.72,0,0,108,83
cucumber,1,,chopped,24.12,4.34,1.18,0.32,83
tomato,2,,chopped,44.28,9.56,2.16,0.49,83
onion,1,,chopped,28,6.53,0.77,0.07,83
green bell pepper,1,,chopped,-,-,-,-,83
celery,1,stalk,chopped,10.24,1.9,0.44,0.1,83
carrot,2,,chopped,59.04,13.79,1.33,0.34,83
ranch dressing,1 1/2,cups,reduced fat,399.84,89.07,0.84,6.45,83
garlic powder,1/2,teaspoon,,5.13,1.12,0.25,0.01,83
cumin,1/2,teaspoon,ground,3.93,0.46,0.18,0.23,83
head romaine lettuce,1,,,75.65,0,16.83,0.42,83
water,2 1/4,cups,,0,0,0,0,84
bulgur wheat,1,cup,,-,-,-,-,84
tomato,2,,seeded chopped,80.41,17.37,3.93,0.89,84
green onion,2,,sliced,38.34,8.15,1.37,0.66,84
cilantro,3/4,cup,chopped,2.76,0.44,0.25,0.06,84
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,84
lemon,2,,juiced,2.23,0.7,0.03,0.02,84
olive oil,2,tablespoons,,238.68,0,0,27,84
cumin,1,teaspoon,ground,7.87,0.92,0.37,0.46,84
pepper,1/2,teaspoon,cracked,0.31,0.07,0.01,0,84
salt,to taste,,,-,-,-,-,84
butter,1,cup,unsalted,1368,62.85,42.74,115.2,85
phyllo dough,1/2,package,,-,-,-,-,85
pecan,2,cups,chopped,572.69,107.32,11.78,12.06,85
clove,1 1/2,tablespoons,,26.71,6.38,0.58,1.26,85
water,1 1/2,cups,,0,0,0,0,85
white sugar,1/3,cup,,258,66.65,0,0,85
cinnamon,1,,,-,-,-,-,85
honey,1,cup,,-,-,-,-,85
spinach,1,package,chopped,65.32,10.3,8.12,1.1,86
water,1/2,cup,,0,0,0,0,86
tahini,1,tablespoon,,85.5,3.92,2.67,7.2,86
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,86
cumin,1/4,teaspoon,ground,1.96,0.23,0.09,0.11,86
paprika,1/4,teaspoon,,1.62,0.31,0.08,0.07,86
cayenne pepper,,,,-,-,-,-,86
red wine vinegar,1/3,cup,,15.13,0.21,0.03,0,86
salt pepper,to taste,,,-,-,-,-,86
vegetable oil,1/2,cup,,939.58,0,0,109,87
onion,1,,chopped,60,14.01,1.65,0.15,87
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,87
lamb meat,1 1/2,pounds,cubed,1918.73,0,112.67,159.28,87
water,1 1/2,cups,,0,0,0,0,87
salt,to taste,,,-,-,-,-,87
black pepper,to taste,,ground,0,0,0,0,87
cayenne pepper,1/4,teaspoon,,1.43,0.25,0.05,0.07,87
cumin,1,teaspoon,ground,7.87,0.92,0.37,0.46,87
spinach,3,cups,chopped,20.7,3.26,2.57,0.35,87
cilantro,2,tablespoons,chopped,0.46,0.07,0.04,0.01,87
cooking oil,1/4,cup,,-,-,-,-,87
basmati rice,3,cups,uncooked,-,-,-,-,87
water,6,cups,,0,0,0,0,87
basmati rice,2,cups,,-,-,-,-,88
garlic,4,heads,,-,-,-,-,88
vegetable oil,1/2,cup,,939.58,0,0,109,88
leg lamb,2,pounds,boneless cut,2086.56,0,162.47,154.85,88
onion,2,,sliced,120,28.02,3.3,0.3,88
carrot,5,,grated,147.6,34.48,3.34,0.86,88
cumin seed,2,tablespoons,,45,5.3,2.13,2.67,88
coriander seed,2,tablespoons,,29.8,5.49,1.23,1.77,88
barberry,1/2,cup,,-,-,-,-,88
black peppercorn,1,teaspoon,,-,-,-,-,88
water,2,cups,boiling,0,0,0,0,88
salt,2,tablespoons,,-,-,-,-,88
kasha buckwheat groat,1,cup,toasted,-,-,-,-,89
olive oil,1,tablespoon,,119.34,0,0,13.5,89
onion,2,,peeled chopped,128,29.88,3.52,0.32,89
garlic,1,clove,minced,4.47,0.99,0.19,0.01,89
cucumber,1,,peeled diced,15.6,3.77,0.67,0.11,89
parsley,3/4,cup,chopped,16.2,2.84,1.33,0.35,89
mint,6,tablespoons,chopped,15.04,2.87,1.12,0.24,89
lemon,1,,juiced,1.11,0.35,0.01,0.01,89
herb,1,pinch,mixed,-,-,-,-,89
black bean,1,can,rinsed drained,991.81,181.37,62.82,4.13,90
lemon juice,2,teaspoons,,2.23,0.7,0.03,0.02,90
basil,1,tablespoon,,0.6,0.07,0.08,0.01,90
garlic powder,1,teaspoon,,10.26,2.25,0.51,0.02,90
butter,1/4,cup,,342,15.71,10.68,28.8,91
spaghetti,2,ounces,uncooked,212.04,42.64,7.6,0.89,91
onion,1/4,cup,minced,16,3.73,0.44,0.04,91
garlic,1/2,teaspoon,minced,2.08,0.46,0.08,0,91
jasmine rice,1 1/4,cups,uncooked,-,-,-,-,91
vegetable broth,2 1/4,cups,,365.31,59.22,13.39,8.63,91
salt pepper,to taste,,,-,-,-,-,91
asparagus,1/2,pound,trimmed cut,45.35,8.79,4.98,0.27,91
cashew half,1/2,cup,,-,-,-,-,91
vegetable oil,2,tablespoons,,234.46,0,0,27.2,92
onion,2,,chopped,120,28.02,3.3,0.3,92
salt black pepper,to taste,,ground,-,-,-,-,92
lamb meat,2,pounds,cubed,2558.3,0,150.23,212.37,92
cinnamon,3,tablespoons,ground,-,-,-,-,92
cumin,1 1/2,teaspoons,ground,11.81,1.39,0.56,0.7,92
coriander,1 1/2,teaspoons,ground,8.04,1.48,0.33,0.47,92
garlic paste,1 1/2,tablespoons,,-,-,-,-,92
tomato,5,cans,canned diced drained,310.34,68.81,16.19,2.69,92
tomato paste,1 1/2,tablespoons,,19.68,4.53,1.03,0.11,92
beef bouillon cube,2,,,0.7,0,0.11,0.02,92
water,4,cups,boiling,0,0,0,0,92
okra,2,pounds,sliced,299.37,67.58,17.5,1.72,92
eggplant,1,,,-,-,-,-,93
tahini,2,tablespoons,,171,7.85,5.34,14.4,93
lemon juice,1/4,cup,,13.42,4.2,0.21,0.14,93
garlic,1,tablespoon,minced,12.66,2.81,0.54,0.04,93
olive oil,1/3,cup,,636.48,0,0,72,93
salt,to taste,,,-,-,-,-,93
yogurt,2,cups,,298.9,22.83,17,15.92,94
white vinegar,1/4,cup,distilled,10.71,0.02,0,0,94
olive oil,1/4,cup,,238.68,0,0,27,94
lemon juice,3,tablespoons,,10.06,3.15,0.16,0.1,94
garlic,3,cloves,minced,13.41,2.97,0.57,0.04,94
cinnamon,1/2,teaspoon,ground,-,-,-,-,94
nutmeg,1/2,teaspoon,ground,5.77,0.54,0.06,0.39,94
oregano,1/2,teaspoon,,1.32,0.34,0.04,0.02,94
bay leaf,2,,,-,-,-,-,94
leg lamb,3 1/2,pounds,boneless trimmed cut,3651.48,0,284.33,271,94
olive oil,2,tablespoons,,238.68,0,0,27,94
pita bread,8,,round,-,-,-,-,94
tomato,2,,sliced,80.41,17.37,3.93,0.89,94
onion,1,,sliced,64,14.94,1.76,0.16,94
mint leaf,1/2,bunch,,-,-,-,-,94
water,1 3/4,cups,,0,0,0,0,95
butter,1,tablespoon,,85.5,3.92,2.67,7.2,95
butter,3,tablespoons,,85.5,3.92,2.67,7.2,95
fig,8,,chopped,-,-,-,-,95
currant,1/4,cup,,17.64,4.3,0.39,0.11,95
mango,1,,peeled seeded diced,99,24.71,1.35,0.62,95
water,1/4,cup,,0,0,0,0,95
cashew,1/4,cup,chopped,-,-,-,-,95
half,2,tablespoons,,-,-,-,-,95
chicken,1/2,cup,cubed cooked,167.3,0,19.11,9.52,95
blue cheese,1/4,cup,crumbled,296.45,2.92,0.83,31.29,95
almond milk,1 1/4,cups,,114,19.77,1.26,3.12,96
avocado,1,,peeled pitted sliced,-,-,-,-,96
banana,1,,sliced,89.89,23.06,1.1,0.33,96
ice,1/4,cup,,95.46,9.54,1.76,5.59,96
honey,1,tablespoon,,-,-,-,-,96
almond,3,cups,raw unshelled,5781.36,0,0,654,97
cardamom,1/2,teaspoon,ground,3.11,0.68,0.1,0.06,97
cinnamon,1/2,teaspoon,ground,-,-,-,-,97
salt,1,pinch,,-,-,-,-,97
honey,1/4,cup,,-,-,-,-,97
confectioner sugar,2,tablespoons,,-,-,-,-,97
vegetable oil,1,quart,,-,-,-,-,98
onion,1,,quartered,64,14.94,1.76,0.16,98
green bell pepper,1,,chopped,-,-,-,-,98
egg,1,,,71.5,0.36,6.28,4.75,98
garlic,3,cloves,,13.41,2.97,0.57,0.04,98
taco seasoning mix,1,package,,-,-,-,-,98
baking powder,2,teaspoons,,4.87,2.54,0,0,98
peanut oil,2,teaspoons,,79.56,0,0,9,98
cumin,1,teaspoon,ground,7.87,0.92,0.37,0.46,98
salt,1,teaspoon,,-,-,-,-,98
cayenne pepper,1,pinch,,0.35,0.06,0.01,0.01,98
pinto bean,1,can,drained,-,-,-,-,98
sauce,1,dash,,-,-,-,-,98
bread crumb,1,cup,,426.6,77.73,14.41,5.72,98
graham cracker,30,,crushed,10836,1957.03,168.58,267.12,99
butter,1/3,cup,melted,456,20.95,14.24,38.4,99
milk,1,can,sweetened condensed,827.58,19.93,8.23,85.78,99
egg,3,,,214.5,1.08,18.84,14.26,99
vanilla extract,1 1/2,tablespoons,,56.16,2.46,0.01,0.01,99
walnut,1,cup,chopped,1927.12,0,0,218,99
date,1,cup,chopped,414.54,110.29,3.6,0.57,99
red bell pepper,2,,,-,-,-,-,100
tomato,4,,,160.83,34.75,7.86,1.78,100
olive oil,1,tablespoon,,119.34,0,0,13.5,100
garlic,4,cloves,chopped,17.88,3.96,0.76,0.06,100
jalapeno pepper,1,,chopped,1.63,0.36,0.05,0.02,100
salt,to taste,,,-,-,-,-,100
semolina,2,pounds,,3265.86,660.7,115.03,9.52,100
salt,1 1/2,teaspoons,,-,-,-,-,100
water,3,cups,,0,0,0,0,100
